"icao","name","city","country","lat","lon","elev_ft","size","continent","runway_ft","paved"
"K96D","Walhalla Municipal Airport","Walhalla","US","48.94060134887695","-97.90280151367188","953","small_airport","NA","3400","1"
"K97M","Ekalaka Airport","Ekalaka","US","45.8778","-104.537003","3503","small_airport","NA","3798","1"
"K98D","Onida Municipal Airport","Onida","US","44.700802","-100.100998","1874","small_airport","NA","3800","1"
"K99N","Bamberg County Airport","Bamberg","US","33.304501","-81.108398","231","small_airport","NA","3603","1"
"K9A0","Lumpkin County Wimpys Airport","Dahlonega","US","34.582838","-84.019918","1311","small_airport","NA","3090","1"
"K9A1","Covington Municipal Airport","Covington","US","33.63249969","-83.84960175","809","small_airport","NA","6000","1"
"K9A5","Barwick Lafayette Airport","Lafayette","US","34.688599","-85.290398","777","small_airport","NA","4999","1"
"K9C8","Evart Municipal Airport","Evart","US","43.895901","-85.279198","1018","small_airport","NA","3804","1"
"K9D0","Highmore Municipal Airport","Highmore","US","44.540589","-99.450807","1854","small_airport","NA","3700","1"
"K9D1","Gregory Municipal Airport - Flynn Field","Gregory","US","43.22169876","-99.40329742","2168","small_airport","NA","3799","1"
"K9D2","Harding County Airport","Buffalo","US","45.58060073852539","-103.52999877929688","2889","small_airport","NA","3900","1"
"K9D4","Deck Airport","Myerstown","US","40.351799","-76.329597","523","small_airport","NA","3786","1"
"K9D7","Cando Municipal Airport","Cando","US","48.48","-99.235901","1481","small_airport","NA","3500","1"
"K9D9","Hastings Airport","Hastings","US","42.663601","-85.346298","801","small_airport","NA","5003","1"
"K9F0","Dublin Municipal Airport","Dublin","US","32.068049","-98.325774","1495","small_airport","NA","3200","1"
"K9F8","Hoven Municipal Airport","Hoven","US","45.257599","-99.797798","1884","small_airport","NA","3700","1"
"K9F9","Sycamore Strip","Fort Worth","US","32.628501892089844","-97.35359954833984","760","small_airport","NA","3375","1"
"K9G2","Prices Airport","Linden","US","42.807598","-83.769897","920","small_airport","NA","4000","1"
